Fonction,Individu,Motif,Lieu,Departement/region,Pays,Dates,Annee 
Premier ministre,Jean-Pierre Raffarin,Dîner du colloque franco-britannique ,Versailles,Yvelines ,France,14/01/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Toulouse,Haute-Garonne,France,18/01/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Tunis,nc,Tunisie,30/01/2005,2005
Premier ministre,Jean-Pierre Raffarin,"Dîner avec José Manuel Barroso, président de la Commission européenne",Bruxelles,nc,Belgique,10/02/2005,2005
Premier ministre,Jean-Pierre Raffarin,Visite du centre de formation et d'apprentissage (CFA) ,Meaux,Seine-et-Marne ,France,11/02/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Le Perreux-sur-Marne,Val-de-Marne,France,18/02/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,Vienne ,France,19/02/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Strasbourg,Bas-Rhin ,France,22/02/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Montereau-Fault-Yonne,Seine-et-Marne ,France,23/02/2005,2005
Premier ministre,Jean-Pierre Raffarin,Congrès de la Fédération nationale des syndicats des exploitants agricoles (FNSEA),Le Mans,Sarthe ,France,24/03/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Poitiers,Vienne ,France,08/04/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Nice,Alpes-Maritimes ,France,11/04/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Vatican,nc,Vatican,24/04/2005,2005
Premier ministre,Jean-Pierre Raffarin,« Millionième appel 39-39 »,Levallois-Perret,Hauts-de-Seine ,France,25/04/2005,2005
Premier ministre,Jean-Pierre Raffarin,Déplacement privé,Les Baux-de-Provence,Bouches-du-Rhone ,France,04/05/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Bordeaux,Gironde ,France,17/05/2005,2005
Premier ministre,Jean-Pierre Raffarin,nc,Le Havre,Seine-Maritime ,France,19/05/2005,2005
Premier ministre,Jean-Pierre Raffarin,Sommet franco-espagnol,Barcelone,nc,Espagne,23/05/2005,2005
Premier ministre,Jean-Pierre Raffarin,Réunion publique,Poitiers,Vienne ,France,23/05/2005,2005
